datetime,jp,jpHokk,jpToh,jpTok,jpChub,jpHoku,jpKan,jpChug,jpShi,jpKyu
2026-04-01 00:00:00+09:00,17.75,17.75,20.15,20.15,20.61,9.47,9.47,9.47,9.47,8.78
2026-04-01 00:30:00+09:00,14.83,17.45,19.44,19.44,20.57,8.58,8.58,8.58,8.58,8.58
2026-04-01 01:00:00+09:00,12.7,16.54,14.83,14.83,14.83,14.83,14.83,14.83,14.83,8.78
2026-04-01 01:30:00+09:00,13.21,15.45,15.45,15.45,15.45,15.45,15.45,15.45,15.45,8.78
2026-04-01 02:00:00+09:00,14.83,16.07,16.07,16.07,16.07,16.07,16.07,16.07,16.07,9.03
2026-04-01 02:30:00+09:00,17.01,17.75,17.93,17.93,17.93,16.22,16.22,16.22,16.22,9.03
2026-04-01 03:00:00+09:00,17.95,19.44,19.44,19.44,20.0,16.22,16.22,16.22,16.22,9.03
2026-04-01 03:30:00+09:00,19.0,19.71,19.71,19.71,20.26,17.95,17.95,17.95,17.95,10.9
2026-04-01 04:00:00+09:00,19.65,19.71,19.71,19.71,20.26,17.95,17.95,17.95,17.95,10.9
2026-04-01 04:30:00+09:00,19.71,19.91,19.91,19.91,20.25,18.08,18.08,18.08,18.08,10.9
2026-04-01 05:00:00+09:00,20.06,20.53,20.53,20.53,20.53,17.47,17.47,17.47,17.47,10.9
2026-04-01 05:30:00+09:00,20.29,20.8,20.8,20.8,20.8,16.07,16.07,16.07,16.07,9.03
2026-04-01 06:00:00+09:00,19.95,20.64,20.64,20.64,20.64,15.42,15.42,15.42,15.42,10.9
2026-04-01 06:30:00+09:00,19.79,20.0,20.0,20.32,20.32,16.07,16.07,16.07,16.07,10.9
2026-04-01 07:00:00+09:00,19.0,16.54,16.54,19.6,19.6,18.08,18.08,18.08,18.08,10.9
2026-04-01 07:30:00+09:00,18.44,12.01,12.01,19.6,19.6,18.0,18.0,18.0,18.0,10.9
2026-04-01 08:00:00+09:00,21.71,16.3,16.3,25.13,25.13,20.06,20.06,20.06,15.0,10.9
2026-04-01 08:30:00+09:00,23.82,12.01,12.01,32.4,32.4,20.99,20.99,20.99,17.5,17.66
2026-04-01 09:00:00+09:00,20.28,10.0,10.0,22.66,22.66,16.87,16.87,16.87,16.87,16.87
2026-04-01 09:30:00+09:00,20.53,10.0,10.0,22.99,22.99,20.28,20.28,20.28,20.28,20.28
2026-04-01 10:00:00+09:00,20.96,8.01,8.01,25.01,25.01,25.01,25.0,25.0,25.0,19.66
2026-04-01 10:30:00+09:00,21.0,8.01,8.01,25.01,25.01,25.01,25.0,25.0,25.0,19.66
2026-04-01 11:00:00+09:00,21.35,8.01,8.01,31.22,31.22,31.22,25.46,25.46,25.46,18.6
2026-04-01 11:30:00+09:00,21.51,7.83,7.83,32.39,35.0,35.0,25.01,25.01,25.01,12.0
2026-04-01 12:00:00+09:00,20.61,8.01,8.01,30.0,30.0,30.0,22.0,22.0,22.0,8.78
2026-04-01 12:30:00+09:00,20.96,9.12,10.01,31.22,31.22,31.22,21.04,21.04,21.04,8.78
2026-04-01 13:00:00+09:00,25.0,11.7,11.7,44.7,44.7,44.7,25.5,25.5,25.5,11.75
2026-04-01 13:30:00+09:00,25.95,16.32,16.32,44.38,44.38,44.38,18.08,18.08,18.08,12.0
2026-04-01 14:00:00+09:00,31.42,17.61,17.61,43.41,43.41,43.41,20.27,20.27,20.27,12.0
2026-04-01 14:30:00+09:00,32.0,20.0,20.0,42.22,42.22,42.22,34.6,20.99,8.0,12.6
2026-04-01 15:00:00+09:00,31.8,26.63,26.63,42.89,42.89,42.89,34.6,21.0,8.0,17.66
2026-04-01 15:30:00+09:00,30.0,30.0,30.0,32.0,32.0,32.0,24.0,24.0,11.99,20.0
2026-04-01 16:00:00+09:00,30.84,17.23,17.23,32.58,32.58,32.58,21.01,21.01,8.0,20.0
2026-04-01 16:30:00+09:00,32.39,18.5,18.5,35.83,35.83,35.83,20.98,20.98,10.0,20.0
2026-04-01 17:00:00+09:00,30.0,22.0,22.0,32.0,32.0,20.06,20.06,20.06,8.0,20.0
2026-04-01 17:30:00+09:00,34.6,30.0,30.0,42.44,42.44,20.38,20.38,20.38,8.0,20.38
2026-04-01 18:00:00+09:00,34.6,32.77,32.77,39.6,39.6,21.5,21.5,21.5,7.94,21.5
2026-04-01 18:30:00+09:00,34.6,38.54,38.54,38.54,38.54,24.5,24.5,24.5,7.93,23.0
2026-04-01 19:00:00+09:00,34.6,31.8,31.8,31.8,31.8,24.5,24.5,24.5,18.54,24.0
2026-04-01 19:30:00+09:00,31.61,31.03,31.03,31.03,25.06,21.0,21.0,21.0,15.0,21.0
2026-04-01 20:00:00+09:00,24.52,23.61,23.61,23.61,23.61,20.28,20.28,20.28,20.28,20.28
2026-04-01 20:30:00+09:00,24.5,24.31,24.31,24.31,24.31,20.06,20.06,20.06,15.0,20.06
2026-04-01 21:00:00+09:00,22.43,23.55,23.55,23.55,23.55,18.44,18.44,18.44,18.44,18.44
2026-04-01 21:30:00+09:00,21.49,22.18,22.18,22.18,22.18,18.67,18.67,18.67,18.67,18.67
2026-04-01 22:00:00+09:00,20.95,21.5,21.5,21.5,21.5,18.6,18.6,18.6,18.6,18.6
2026-04-01 22:30:00+09:00,20.29,17.77,17.77,21.3,21.3,16.22,16.22,16.22,16.22,16.22
2026-04-01 23:00:00+09:00,20.53,21.0,21.0,21.33,21.33,17.15,17.15,17.15,17.15,12.0
2026-04-01 23:30:00+09:00,20.29,20.95,20.95,20.95,20.95,14.91,14.91,14.91,14.91,10.9
2026-04-02 00:00:00+09:00,18.44,17.29,21.47,21.47,22.07,11.28,11.28,11.28,11.28,11.28
2026-04-02 00:30:00+09:00,16.5,18.34,19.92,19.92,24.12,10.2,10.2,10.2,10.2,10.2
2026-04-02 01:00:00+09:00,15.94,19.67,19.67,19.67,39.18,9.74,9.74,9.74,9.74,9.74
2026-04-02 01:30:00+09:00,16.07,19.56,19.56,19.56,40.89,11.01,11.01,11.01,11.01,11.01
2026-04-02 02:00:00+09:00,16.5,17.93,17.93,17.93,40.9,12.0,12.0,12.0,12.0,12.0
2026-04-02 02:30:00+09:00,19.0,19.13,19.13,19.13,42.17,15.45,15.45,15.45,15.45,15.45
2026-04-02 03:00:00+09:00,19.71,19.71,19.71,19.71,39.85,15.6,15.6,15.6,15.6,15.6
2026-04-02 03:30:00+09:00,19.59,19.61,19.61,19.61,41.47,14.91,14.91,14.91,14.91,14.91
2026-04-02 04:00:00+09:00,20.06,20.25,20.25,20.25,40.33,16.07,16.07,16.07,7.95,16.07
2026-04-02 04:30:00+09:00,19.92,20.25,20.25,20.25,40.04,16.22,16.22,16.22,7.82,16.22
2026-04-02 05:00:00+09:00,20.34,21.99,21.99,21.99,39.85,16.35,16.35,16.35,7.83,16.35
2026-04-02 05:30:00+09:00,20.57,22.38,22.38,22.38,39.88,15.6,15.6,15.6,7.8,15.6
2026-04-02 06:00:00+09:00,20.57,22.5,22.5,23.27,26.08,14.91,14.91,14.91,14.91,14.91
2026-04-02 06:30:00+09:00,20.8,25.81,25.81,25.81,25.81,14.91,14.91,14.91,14.91,14.91
2026-04-02 07:00:00+09:00,20.95,32.0,32.0,32.0,32.0,10.01,10.01,10.01,10.01,10.01
2026-04-02 07:30:00+09:00,19.83,25.0,25.0,32.0,32.0,8.64,8.64,8.64,7.88,8.64
2026-04-02 08:00:00+09:00,20.21,23.63,23.63,50.0,40.36,9.84,8.58,8.58,7.74,8.58
2026-04-02 08:30:00+09:00,19.26,25.0,25.0,32.0,26.08,9.93,8.58,8.58,6.88,8.58
2026-04-02 09:00:00+09:00,17.93,23.47,23.47,23.47,20.91,14.91,14.91,12.96,2.9,8.39
2026-04-02 09:30:00+09:00,16.22,23.18,23.18,23.18,20.38,14.0,14.0,12.67,2.0,1.0
2026-04-02 10:00:00+09:00,13.5,20.93,20.93,22.41,12.48,9.84,7.63,7.63,0.02,0.01
2026-04-02 10:30:00+09:00,9.03,22.38,22.38,22.38,6.63,6.63,6.63,6.63,0.01,0.01
2026-04-02 11:00:00+09:00,8.57,20.99,20.99,22.0,3.0,3.0,3.0,3.0,0.01,0.01
2026-04-02 11:30:00+09:00,9.03,20.09,20.09,45.7,2.76,2.76,2.76,2.76,0.01,0.01
2026-04-02 12:00:00+09:00,8.0,17.76,17.76,24.64,1.87,1.87,1.87,1.87,0.01,0.01
2026-04-02 12:30:00+09:00,6.95,16.27,16.27,22.68,2.93,2.93,2.93,2.93,0.01,0.01
2026-04-02 13:00:00+09:00,8.78,20.0,20.0,22.92,12.7,12.7,12.7,12.7,0.01,0.01
2026-04-02 13:30:00+09:00,9.73,21.45,21.45,22.62,12.7,12.7,12.7,12.7,0.02,0.01
2026-04-02 14:00:00+09:00,8.58,22.41,22.41,22.41,9.77,9.77,9.77,7.8,1.0,0.01
2026-04-02 14:30:00+09:00,9.81,22.41,22.41,22.41,13.0,13.0,13.0,8.64,2.9,0.01
2026-04-02 15:00:00+09:00,10.0,20.57,20.57,21.82,20.26,15.45,15.45,4.86,4.86,0.01
2026-04-02 15:30:00+09:00,15.6,22.27,22.27,22.27,20.96,15.6,15.6,2.9,2.9,2.5
2026-04-02 16:00:00+09:00,17.93,23.24,23.24,23.24,20.98,14.91,14.91,8.39,8.39,8.39
2026-04-02 16:30:00+09:00,20.0,29.9,29.9,29.9,29.9,14.91,14.91,14.91,14.91,8.78
2026-04-02 17:00:00+09:00,20.06,24.36,24.36,24.36,24.36,14.91,14.91,9.03,9.03,9.03
2026-04-02 17:30:00+09:00,19.71,23.0,23.0,23.0,23.0,16.22,16.22,16.22,16.22,16.22
2026-04-02 18:00:00+09:00,21.65,23.48,23.48,23.48,23.48,18.44,18.44,18.44,18.44,18.44
2026-04-02 18:30:00+09:00,21.85,23.5,23.5,23.5,23.5,18.61,18.61,18.61,18.61,18.61
2026-04-02 19:00:00+09:00,22.28,26.08,26.08,26.08,26.08,18.08,18.08,18.08,18.08,18.08
2026-04-02 19:30:00+09:00,22.24,25.0,25.0,25.0,25.0,18.44,18.44,18.44,7.98,18.44
2026-04-02 20:00:00+09:00,22.14,24.2,24.2,24.2,24.2,17.95,17.95,17.95,7.74,17.95
2026-04-02 20:30:00+09:00,22.27,23.63,23.63,23.63,23.63,19.66,19.66,19.66,7.73,19.66
2026-04-02 21:00:00+09:00,22.5,25.81,25.81,30.0,30.0,19.0,19.0,19.0,7.93,19.0
2026-04-02 21:30:00+09:00,22.78,23.0,23.0,40.74,40.74,19.29,19.29,19.29,19.29,19.29
2026-04-02 22:00:00+09:00,22.41,21.5,21.5,39.88,39.88,18.44,18.44,18.44,18.44,18.44
2026-04-02 22:30:00+09:00,22.02,19.52,19.52,40.63,40.63,17.95,17.95,17.95,17.95,17.95
2026-04-02 23:00:00+09:00,22.02,30.0,30.0,30.0,30.0,18.6,18.6,18.6,18.6,18.6
2026-04-02 23:30:00+09:00,20.28,24.17,24.17,24.17,24.17,16.35,16.35,16.35,16.35,16.35
2026-04-03 00:00:00+09:00,20.06,23.39,23.39,23.39,23.39,15.6,15.6,15.6,6.93,15.6
2026-04-03 00:30:00+09:00,19.07,22.27,22.27,22.27,22.5,12.0,12.0,12.0,6.93,12.0
2026-04-03 01:00:00+09:00,13.0,15.0,15.0,15.0,22.33,10.5,10.5,10.5,6.51,10.5
2026-04-03 01:30:00+09:00,18.49,21.85,21.85,21.85,22.39,11.5,11.5,11.5,6.93,11.5
2026-04-03 02:00:00+09:00,19.44,22.85,22.85,22.85,22.85,12.0,12.0,12.0,6.95,12.0
2026-04-03 02:30:00+09:00,20.06,23.57,23.57,23.57,23.57,16.14,16.14,16.14,6.95,16.14
2026-04-03 03:00:00+09:00,20.52,24.0,24.0,24.0,24.0,17.99,17.99,17.99,6.95,17.99
